HVS,source_id,ra,dec,vhelio_val,vhelio_err,pmra_val,pmra_err,pmdec_val,pmdec_err,dhelio_val,dhelio_err
1,577294697514301440,136.93746493224796,2.751908511086131,831.1,5.7,-0.6,0.6,-0.47,0.39,102.24,14.6
4,699811079173836928,138.25417887404456,30.855519181135048,600.9,6.2,-0.2,0.26,-0.6,0.19,63.8,9.7
5,1069326945513133952,139.49781056025995,67.37732272721098,545.5,4.3,0.0,0.08,-0.99,0.11,44.2,5.09
6,3867267443277880320,166.48937837036124,9.5776376877337,609.4,6.8,0.12,0.3,0.12,0.23,55.36,6.88
7,3799146650623432704,173.30051010420462,1.1402338992978893,526.9,3.0,-0.09,0.18,0.02,0.13,52.17,6.25
8,633599760258827776,145.55848492274316,20.056123406496656,499.3,2.9,-0.88,0.16,-0.28,0.14,53.19,9.8
9,3830584196322129920,155.40451848520857,-0.8763158355174403,616.8,5.1,0.26,0.43,-0.81,0.65,74.1,11.6
10,3926757653770374272,180.90772356061916,18.047324792750977,467.9,5.6,-1.09,0.45,-0.99,0.21,51.76,5.72
12,3809777626689513216,162.5399901326001,3.2640600144277556,552.2,6.6,0.93,0.88,-0.19,0.58,64.83,8.36
13,3804790100211231104,163.20127741603395,-0.026076172942842913,569.3,6.1,0.07,0.79,-0.2,0.63,105.58,19.45
14,3859275333773935488,161.00728051837635,6.194176250931798,537.3,7.2,-2.17,1.38,2.28,1.68,102.66,16.55
15,3794074603484360704,173.42121535112977,-1.3539791377639228,461.0,6.3,-1.3,0.36,-0.48,0.23,66.16,9.75
16,3708104343359742848,186.34751296355174,5.376080912648428,429.8,7.0,-1.29,0.5,-0.54,0.29,70.93,11.43
17,1407293627068696192,250.4849449350701,47.396126407745484,250.2,2.9,-1.13,0.09,-0.93,0.1,49.82,3.9
18,2872564390598678016,352.2706267308325,33.00320131322544,237.3,6.4,0.01,0.34,-0.24,0.32,77.34,10.68
19,3911105521632982400,173.82397045472803,8.03372949908586,592.8,11.8,0.52,1.08,-0.98,1.14,97.32,15.24
20,3800802102817768832,174.154737097967,3.518588372406083,512.1,8.5,-0.18,0.66,-0.99,0.56,75.4,10.76
21,834069905715968640,158.5760650990072,48.19294641106324,356.8,7.5,-0.2,0.41,-0.65,0.65,72.11,13.95
22,3897063727354575488,175.44351811479729,4.704804614182681,597.8,13.4,0.07,0.87,-0.59,0.67,83.98,13.15
23,2681450921590663296,329.1209186025362,0.9122807743152611,259.3,9.8,-1.21,1.29,-2.46,1.5,114.87,20.1
24,3810351984075984768,167.90184910487866,0.9823400844075448,492.5,5.3,0.1,0.31,-0.4,0.26,54.08,7.47
