HVS,source_id,cov_xx,cov_xy,cov_xz,cov_yy,cov_yz,cov_zz
1,577294697514301440,72.280425,78.607606,-65.263486,85.488646,-70.976428,58.927747
4,699811079173836928,49.317542,13.023690,-47.075380,3.439273,-12.431583,44.935155
5,1069326945513133952,10.748296,-7.205598,-10.411018,4.830593,6.979488,10.084324
6,3867267443277880320,2.382282,4.745028,-9.058078,9.451142,-18.041872,34.441249
7,3799146650623432704,0.117702,1.132391,-1.819184,10.894526,-17.502034,28.116983
8,633599760258827776,33.234767,20.598170,-41.136529,12.766288,-25.495507,50.916983
9,3830584196322129920,12.465238,26.443715,-28.673526,56.097610,-60.827922,65.957108
10,3926757653770374144,0.219479,0.619304,-2.591748,1.747486,-7.313121,30.604955
12,3809777626689513472,3.816969,9.120848,-12.895276,21.794746,-30.813942,43.565498
13,3804790100211231232,14.624906,44.527721,-57.234360,135.571334,-174.258605,223.985856
14,3859275333773935616,22.205058,41.683293,-63.295822,78.247799,-118.818798,180.425610
15,3794074603484360704,0.097324,1.701632,-2.520060,29.751794,-44.061397,65.253435
16,3708104343359742976,1.506231,-5.185256,12.933393,17.850434,-44.523675,111.053754
17,1407293627068696064,0.723043,2.424894,2.209123,8.132452,7.408812,6.749563
18,2872564390598678016,5.101548,-20.901456,10.835368,85.634952,-44.393378,23.013641
19,3911105521632982528,2.569946,10.575951,-22.093544,43.522604,-90.920291,189.935772
20,3800802102817768960,0.440396,3.493602,-6.199785,27.714281,-49.182077,87.279070
21,834069905715968640,56.602070,-14.948144,-87.617439,3.947683,23.139050,135.627824
22,3897063727354575360,0.477502,4.263636,-8.107039,38.070221,-72.388158,137.641582
23,2681450921590663168,63.373444,107.432753,-102.984550,182.123547,-174.582806,167.354286
24,3810351984075984896,1.036398,4.306822,-6.228758,17.897302,-25.884039,37.434887
